Feature
1,ENSG00000224511
2,ENSG00000177822
3,ENSG00000259855
4,ENSG00000280987
5,ENSG00000177340
6,ENSG00000224848
7,ENSG00000183873
8,ENSG00000139574
9,ENSG00000180712
10,ENSG00000258667
11,ENSG00000183134
12,ENSG00000273342
13,ENSG00000261433
14,ENSG00000214415
15,ENSG00000236345
16,ENSG00000214184
17,ENSG00000260246
18,ENSG00000236611
19,ENSG00000276851
20,ENSG00000196166
21,ENSG00000260633
22,ENSG00000226707
23,ENSG00000149575
24,ENSG00000228658
25,ENSG00000259185
26,ENSG00000254741
27,ENSG00000273012
28,ENSG00000140600
29,ENSG00000126231
30,ENSG00000230303
31,ENSG00000279141
32,ENSG00000021461
33,ENSG00000228614
34,ENSG00000248223
35,ENSG00000170044
36,ENSG00000258884
37,ENSG00000251513
38,ENSG00000164841
39,ENSG00000273104
40,ENSG00000170465
41,ENSG00000167945
42,ENSG00000260613
43,ENSG00000267665
44,ENSG00000131737
45,ENSG00000276631
46,ENSG00000223658
47,ENSG00000245059
48,ENSG00000254429
49,ENSG00000257449
50,ENSG00000279954
51,ENSG00000243678
52,ENSG00000183682
53,ENSG00000106128
54,ENSG00000285012
55,ENSG00000267334
56,ENSG00000236021
57,ENSG00000236799
58,ENSG00000069509
59,ENSG00000081760
60,ENSG00000243978
61,ENSG00000213123
62,ENSG00000262966
63,ENSG00000103494
64,ENSG00000174446
65,ENSG00000115514
66,ENSG00000230319
67,ENSG00000188010
68,ENSG00000259517
69,ENSG00000204822
70,ENSG00000163528
71,ENSG00000168348
72,ENSG00000260788
73,ENSG00000258689
74,ENSG00000273240
75,ENSG00000160224
76,ENSG00000122432
77,ENSG00000171224
78,ENSG00000229214
79,ENSG00000171855
80,ENSG00000259757
81,ENSG00000179304
82,ENSG00000138463
83,ENSG00000233330
84,ENSG00000237879
85,ENSG00000154447
86,ENSG00000136950
87,ENSG00000271384
88,ENSG00000198793
89,ENSG00000280145
90,ENSG00000263952
91,ENSG00000234139
92,ENSG00000150750
93,ENSG00000272047
94,ENSG00000260515
95,ENSG00000183735
96,ENSG00000226650
97,ENSG00000228971
98,ENSG00000123388
99,ENSG00000273110
100,ENSG00000140264
101,ENSG00000229117
102,ENSG00000148943
103,ENSG00000196655
104,ENSG00000105327
105,ENSG00000092841
106,ENSG00000133134
107,ENSG00000148296
108,ENSG00000133107
109,ENSG00000150991
110,ENSG00000108298
111,ENSG00000099219
112,ENSG00000139517
113,ENSG00000143486
114,ENSG00000108107
115,ENSG00000156482
116,ENSG00000182093
117,ENSG00000145982
118,ENSG00000148950
119,ENSG00000162244
120,ENSG00000105372
121,ENSG00000120437
122,ENSG00000225655
123,ENSG00000114686
124,ENSG00000282527
125,ENSG00000124659
126,ENSG00000126856
127,ENSG00000238205
128,ENSG00000204351
129,ENSG00000156973
130,ENSG00000233064
131,ENSG00000170468
132,ENSG00000213741
133,ENSG00000179914
134,ENSG00000101146
135,ENSG00000260021
136,ENSG00000182149
137,ENSG00000196449
138,ENSG00000136247
139,ENSG00000154473
140,ENSG00000159592
141,ENSG00000124535
142,ENSG00000162385
143,ENSG00000197756
144,ENSG00000070476
145,ENSG00000095015
146,ENSG00000204110
147,ENSG00000142541
148,ENSG00000225778
149,ENSG00000183337
150,ENSG00000087157
151,ENSG00000135698
152,ENSG00000057757
153,ENSG00000105202
154,ENSG00000140374
155,ENSG00000177954
156,ENSG00000198690
157,ENSG00000124787
158,ENSG00000183155
159,ENSG00000167526
160,ENSG00000231500
161,ENSG00000172809
162,ENSG00000049656
163,ENSG00000137818
164,ENSG00000144713
165,ENSG00000075624
166,ENSG00000164587
167,ENSG00000197903
168,ENSG00000101856
169,ENSG00000101132
170,ENSG00000114416
171,ENSG00000174132
172,ENSG00000258792
173,ENSG00000259383
174,ENSG00000181090
175,ENSG00000170837
176,ENSG00000108518
177,ENSG00000215271
178,ENSG00000172239
179,ENSG00000158987
180,ENSG00000105193
181,ENSG00000089157
182,ENSG00000260805
183,ENSG00000221983
184,ENSG00000262477
185,ENSG00000198918
186,ENSG00000131469
187,ENSG00000147403
188,ENSG00000177728
189,ENSG00000232010
190,ENSG00000189308
191,ENSG00000261135
192,ENSG00000163501
193,ENSG00000135932
194,ENSG00000106245
195,ENSG00000261121
196,ENSG00000171984
197,ENSG00000175768
198,ENSG00000115539
199,ENSG00000270882
200,ENSG00000260793
201,ENSG00000261437
202,ENSG00000264622
203,ENSG00000272993
204,ENSG00000197021
205,ENSG00000154582
206,ENSG00000160349
207,ENSG00000101310
208,ENSG00000198242
209,ENSG00000167996
210,ENSG00000077147
211,ENSG00000177202
212,ENSG00000171858
213,ENSG00000132541
214,ENSG00000115159
215,ENSG00000184009
216,ENSG00000231943
217,ENSG00000205155
218,ENSG00000213214
219,ENSG00000227933
220,ENSG00000108039
221,ENSG00000270170
222,ENSG00000166828
223,ENSG00000160298
224,ENSG00000284825
225,ENSG00000136930
226,ENSG00000136783
227,ENSG00000134970
228,ENSG00000177558
229,ENSG00000174748
230,ENSG00000101363
231,ENSG00000058729
232,ENSG00000094975
233,ENSG00000146066
234,ENSG00000230432
235,ENSG00000100625
236,ENSG00000172315
237,ENSG00000275441
238,ENSG00000161813
239,ENSG00000064195
240,ENSG00000145592
241,ENSG00000205707
242,ENSG00000075142
243,ENSG00000179119
244,ENSG00000134717
245,ENSG00000133112
246,ENSG00000114784
247,ENSG00000137269
248,ENSG00000182899
249,ENSG00000140988
250,ENSG00000115946
251,ENSG00000257727
252,ENSG00000124172
253,ENSG00000111328
254,ENSG00000122203
255,ENSG00000177646
256,ENSG00000008300
257,ENSG00000253217
258,ENSG00000231394
259,ENSG00000162545
260,ENSG00000204628
261,ENSG00000182919
262,ENSG00000230526
263,ENSG00000115661
264,ENSG00000217442
265,ENSG00000108588
266,ENSG00000115271
267,ENSG00000088836
268,ENSG00000255112
269,ENSG00000125691
270,ENSG00000278903
271,ENSG00000250682
272,ENSG00000233927
273,ENSG00000233823
274,ENSG00000136942
275,ENSG00000110801
276,ENSG00000179889
277,ENSG00000104177
278,ENSG00000034510
279,ENSG00000215126
280,ENSG00000125459
281,ENSG00000143061
282,ENSG00000105221
283,ENSG00000105677
284,ENSG00000235448
285,ENSG00000271141
286,ENSG00000189376
287,ENSG00000214022
288,ENSG00000125850
289,ENSG00000260447
