Feature,Normalized.Dispersion
ENSG00000238009,0.34493483569232664
ENSG00000229905,0.9408372966282145
ENSG00000237491,-0.545126401729681
ENSG00000177757,4.080516758742322
ENSG00000225880,-0.22825954051491062
ENSG00000230368,-0.4466761626364958
ENSG00000272438,nan
ENSG00000230699,nan
ENSG00000241180,nan
ENSG00000223764,0.30624988553667765
ENSG00000187634,1.5566393932739306
ENSG00000188976,1.0596014752669292
ENSG00000187961,0.0
ENSG00000187583,-0.6004917357323363
ENSG00000187642,-1.7328695980018427
ENSG00000272512,0.28345765587377253
ENSG00000188290,-0.6349007047665193
ENSG00000187608,0.1271306828016096
ENSG00000224969,nan
ENSG00000188157,-0.6288035117982014
ENSG00000237330,-0.5464271624668597
ENSG00000131591,0.8841358237954976
ENSG00000223823,2.3916067914400987
ENSG00000272141,-0.1627053144592651
ENSG00000162571,-0.32573921423234203
ENSG00000186891,1.7275767892675378
ENSG00000186827,1.1803882336695237
ENSG00000078808,0.2800913386904397
ENSG00000176022,0.071886540244361
ENSG00000184163,1.3938531715341327
ENSG00000260179,nan
ENSG00000160087,1.2625754934089992
ENSG00000230415,0.34466323997915227
ENSG00000162572,0.9646356461979096
ENSG00000131584,1.615160125032992
ENSG00000169972,-0.5466868223485355
ENSG00000127054,-0.45543731310085406
ENSG00000224051,1.426460265697348
ENSG00000169962,0.19763045548002692
ENSG00000107404,0.33790881634189013
ENSG00000162576,6.008403293524593
ENSG00000175756,1.4304825288475023
ENSG00000221978,1.6219401590262112
ENSG00000242485,-1.4496819068093059
ENSG00000272455,-1.6818295867412005
ENSG00000235098,1.2389491152924454
ENSG00000225285,-0.5014094190874406
ENSG00000179403,2.758464117887267
ENSG00000215915,0.6235634151056092
ENSG00000160072,1.037129255654105
ENSG00000197785,2.486273718432686
ENSG00000205090,-1.144221770390563
ENSG00000160075,-0.38478013410431927
ENSG00000215014,-0.2885917207616246
ENSG00000228594,0.6814589333811568
ENSG00000272106,-1.514521975286702
ENSG00000197530,2.0984964589856006
ENSG00000189409,3.8952489055153032
ENSG00000248333,0.6454342190191875
ENSG00000272004,-0.0645175685699545
ENSG00000189339,0.1354695101754238
ENSG00000008128,1.843932279908187
ENSG00000215790,-1.4858961145465457
ENSG00000008130,1.0494382336356423
ENSG00000078369,-0.11188645801022185
ENSG00000231050,-1.0107476929371089
ENSG00000169885,-0.5952937283806226
ENSG00000178821,3.1789550367274955
ENSG00000142609,-0.6199335425360902
ENSG00000233542,-0.7347376195803427
ENSG00000187730,1.3249435863448793
ENSG00000226969,0.6221581506283687
ENSG00000067606,-0.8007368164046395
ENSG00000182873,4.301677471347923
ENSG00000162585,3.333749410591423
ENSG00000234396,-0.6601252758131341
ENSG00000157933,2.122529428139473
ENSG00000116151,1.7323877273885677
ENSG00000157916,-0.8788260812256979
ENSG00000157911,0.9688709803118736
ENSG00000149527,0.05831874312737734
ENSG00000224387,-1.6052615204103127
ENSG00000157881,1.145788629567751
ENSG00000197921,-0.20593117141331882
ENSG00000272449,-1.6812492661815521
ENSG00000238164,3.272876577367204
ENSG00000157873,2.6589746812238513
ENSG00000228037,0.542819629305316
ENSG00000157870,2.9500255785958074
ENSG00000142606,-0.7678033829697307
ENSG00000237058,nan
ENSG00000215912,-0.6225436317562024
ENSG00000177133,0.8710291935127077
ENSG00000142611,0.3699961549871974
ENSG00000226286,-0.9253649669876881
ENSG00000272235,nan
ENSG00000130762,-1.7991071210538845
ENSG00000272088,-0.034550474525485604
ENSG00000162591,7.044081969732724
ENSG00000238260,1.7024698202352646
ENSG00000158109,0.8602608893101403
ENSG00000116213,0.7435343584402394
ENSG00000078900,-1.4118490455432375
ENSG00000227589,nan
ENSG00000235169,1.5296816004470082
ENSG00000130764,-0.46110214601517563
ENSG00000272153,-0.8699030437830158
ENSG00000116198,2.8349124751086574
ENSG00000169598,0.37524781727627227
ENSG00000198912,-1.8478511301564953
ENSG00000236423,-0.7567343954400714
ENSG00000196581,0.5597112232830406
ENSG00000284692,nan
ENSG00000236948,0.09570979694707327
ENSG00000131697,-0.02979783230363305
ENSG00000069424,3.96644126467291
ENSG00000116254,-0.17414725859074798
ENSG00000116251,-1.3947427348912698
ENSG00000226944,0.08966321012859374
ENSG00000158286,0.785465073238932
ENSG00000116237,-0.33530018780813786
ENSG00000225077,0.9623096380146485
ENSG00000158292,1.9187342309569797
ENSG00000097021,-0.3962557473223187
ENSG00000271746,-0.1300309880167512
ENSG00000069812,-0.23143568361371097
ENSG00000187017,-0.3796626718162004
ENSG00000215788,6.061593024485558
ENSG00000171680,-1.016596841933781
ENSG00000162408,0.0922495310432558
ENSG00000173662,1.2246850875117996
ENSG00000204859,2.5950951743154835
ENSG00000162413,1.0813408896519368
ENSG00000116273,0.4253339126692444
ENSG00000041988,2.5371079722651455
ENSG00000007923,-1.3937213521814291
ENSG00000237436,-0.44801035214149
ENSG00000171735,-0.5937062536134214
ENSG00000270171,nan
ENSG00000270035,0.7415993986282117
ENSG00000269978,0.45559101311742595
ENSG00000049245,-0.19793634556390305
ENSG00000049246,-0.36292582401119705
ENSG00000236266,nan
ENSG00000049247,0.7432031102500319
ENSG00000049249,2.605529458564095
ENSG00000116288,-0.43505770596406534
ENSG00000284747,-0.5285290497157706
ENSG00000284716,nan
ENSG00000116285,-0.41891031984404736
ENSG00000238290,0.1852334397226142
ENSG00000162426,0.13000822584459804
ENSG00000142599,3.3265895792509705
ENSG00000232912,2.593934352199964
ENSG00000074800,-0.2798910569523197
ENSG00000230679,-0.39521234997138
ENSG00000131686,nan
ENSG00000142583,4.17873532315875
ENSG00000180758,0.15196349050573146
ENSG00000228526,1.3746392137354748
ENSG00000234546,1.6968341012602357
ENSG00000049239,1.2266634308956912
ENSG00000171621,1.3770814055091376
ENSG00000284652,-0.70804085787034
ENSG00000284693,-0.021597366879864893
ENSG00000171612,-1.744616459540843
ENSG00000188807,-1.316435685920319
