Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.032304765587127714,0.7580895531741838,0.4151978806761053,0.01737035700834714,-0.7580895531741838,0.4151978806761053
ENSG00000229905,AL669831.2,0.0011335005469167618,-0.4435443079954666,1.0,0.0,0.4435443079954666,1.0
ENSG00000237491,AL669831.5,0.06574303172117218,-0.42484821428556163,0.493638548045656,0.08685178504173569,0.42484821428556163,0.493638548045656
ENSG00000177757,FAM87B,0.0005667502734583809,-2.1805099021616723,0.6524416730502225,0.0019300396675941264,2.1805099021616723,0.6524416730502225
ENSG00000225880,LINC00115,0.04193952023592019,0.36623327632899283,0.7746271497941756,0.030880634681506022,-0.36623327632899283,0.7746271497941756
ENSG00000230368,FAM41C,0.020686384981230904,-0.36337395931148375,0.8609605812502948,0.025090515678723644,0.36337395931148375,0.8609605812502948
ENSG00000272438,AL645608.7,0.00028337513672919046,-1.7654724028828284,1.0,0.0,1.7654724028828284,1.0
ENSG00000230699,AL645608.3,0.0005667502734583809,-1.1805099021616723,1.0,0.0,1.1805099021616723,1.0
ENSG00000241180,AL645608.5,0.00028337513672919046,-1.7654724028828284,1.0,0.0,1.7654724028828284,1.0
ENSG00000223764,AL645608.1,0.15302257383376283,-0.07830504183477416,0.9806910387203053,0.1601932924103125,0.07830504183477416,0.9806910387203053
ENSG00000187634,SAMD11,0.3995589427881585,-0.024069318992749666,1.0,0.40530833019476653,0.024069318992749666,1.0
ENSG00000188976,NOC2L,1.086176899082987,-0.04818985441517473,0.9891483390664538,1.1232830865397816,0.04818985441517473,0.9891483390664538
ENSG00000187961,KLHL17,0.2284003602037275,-0.15344165896350215,0.8350779516760779,0.25283519645483055,0.15344165896350215,0.8350779516760779
ENSG00000187583,PLEKHN1,0.040239269415545044,0.22447393245324854,0.9035524737302435,0.03281067434910015,-0.22447393245324854,0.9035524737302435
ENSG00000187642,PERM1,0.03938914400535747,0.4569200184536193,0.6460298589173659,0.02702055534631777,-0.4569200184536193,0.6460298589173659
